,tag,text,0
0,PER,",",25087
1,PER,.,24641
2,PER,ja,12130
3,LOC,",",10854
4,PER,on,9557
5,LOC,.,9243
6,PER,(,6834
7,ORG,",",6634
8,LOC,ja,6400
9,ORG,.,6032
10,PER,:,4730
11,LOC,on,4334
12,PER,“,4257
13,ORG,ja,4075
14,ORG,),3419
15,PER,),2579
16,PER,ei,2508
17,PER,oli,2442
18,ORG,(,2242
19,PER,sõnul,2223
20,ORG,on,2186
21,ORG,-,1652
22,PER,-,1646
23,PER,oma,1593
24,LOC,),1070
25,LOC,ei,1063
26,LOC,või,949
27,PER,?,946
28,LOC,-,884
29,PER,ise,875
30,PER,ning,852
31,ORG,“,814
32,PER,kui,748
33,PER,või,675
34,PER,ütleb,674
35,LOC,(,656
36,PER,pole,576
37,LOC,oli,567
38,LOC,kui,563
39,ORG,juhatuse,558
40,PER,”,550
41,PER,sai,539
42,LOC,ning,539
43,PER,ütles,523
44,PER,!,508
45,ORG,ning,505
46,ORG,ei,482
47,LOC,?,460
48,PER,aga,450
49,PER,arvates,441
50,PER,poolt,440
51,PER,--,437
52,LOC,pärit,397
53,LOC,oma,394
54,LOC,pole,386
55,ORG,oli,380
56,PER,ka,377
57,LOC,“,373
58,PER,koos,367
59,ORG,:,358
60,PER,räägib,342
61,ORG,nõukogu,337
62,PER,peab,336
63,ORG,või,325
64,ORG,oma,324
65,PER,tegi,321
66,LOC,”,317
67,PER,enda,312
68,ORG,juhataja,304
69,PER,vastu,283
70,PER,juba,281
71,LOC,firma,281
72,PER,oleks,279
73,ORG,poolt,276
74,ORG,direktor,276
75,LOC,vahel,264
76,PER,teeb,259
77,LOC,kõige,253
78,PER,jaoks,252
79,LOC,välja,251
80,ORG,peadirektor,249
81,LOC,lähedal,246
82,PER,&,246
83,ORG,juht,243
84,PER,saab,242
85,ORG,”,242
86,PER,kohta,239
87,PER,The,238
88,PER,',238
89,PER,kinnitab,233
90,LOC,ka,231
91,ORG,kui,230
92,LOC,tagasi,229
93,PER,...,227
94,PER,c,227
95,PER,arvab,226
96,PER,d,226
97,PER,juures,225
98,PER,veel,225
99,LOC,krooni,219
100,ORG,2,219
101,PER,puhul,217
102,ORG,?,217
103,LOC,linnapea,214
104,PER,välja,211
105,LOC,president,209
106,PER,b,204
107,PER,kirjutab,202
108,LOC,juba,200
109,PER,väidab,199
110,LOC,:,198
111,ORG,esimees,197
112,LOC,võib,196
113,PER,kirjutas,193
114,PER,ehk,190
115,PER,võib,185
116,LOC,veel,184
117,PER,peatoimetaja,183
118,ORG,liige,181
119,PER,juurde,180
120,LOC,üks,180
121,PER,olid,180
122,LOC,tänava,179
123,ORG,president,176
124,LOC,ühe,175
125,PER,väitel,175
126,PER,käis,173
127,PER,läks,172
128,LOC,saab,172
129,LOC,suurim,171
130,LOC,toimunud,170
131,PER,üle,170
132,LOC,elav,169
133,PER,ema,169
134,LOC,päritolu,168
135,LOC,poole,167
136,PER,teab,167
137,LOC,tänaval,166
138,PER,seda,166
139,ORG,andmetel,165
140,PER,võttis,164
141,PER,tema,162
142,ORG,juures,161
143,PER,Kui,161
144,PER,nime,161
