,lemma,tag,0
0,A,LOC,26
1,A,ORG,118
2,A,PER,4
3,"A , B",LOC,1
4,"A , B",ORG,1
5,A S,LOC,1
6,A S,ORG,3
7,A-Poster,LOC,1
8,A-Poster,ORG,2
9,A-Rühm,LOC,3
10,A-Rühm,ORG,2
11,A-Rühm,PER,2
12,A-grupp,LOC,1
13,A-grupp,ORG,2
14,A. Alliksaar kinnisvarabüroo,ORG,1
15,A. Alliksaar kinnisvarabüroo,PER,1
16,A. H. Tammsaare,LOC,9
17,A. H. Tammsaare,PER,12
18,A. H. Tammsaare memoriaalmuuseum,ORG,2
19,A. H. Tammsaare memoriaalmuuseum,PER,1
20,A. Papulovas,LOC,1
21,A. Papulovas,PER,1
22,A. Uesson,LOC,1
23,A. Uesson,PER,1
24,A. Zukerman,LOC,1
25,A. Zukerman,PER,2
26,A.D,ORG,22
27,A.D,PER,14
28,A6 Avant,ORG,1
29,A6 Avant,PER,1
30,AA,LOC,1
31,AA,ORG,4
32,AA-Trading,ORG,5
33,AA-Trading,PER,3
34,AA-Tradingu,LOC,3
35,AA-Tradingu,ORG,2
36,AA-Tradingu,PER,2
37,AB,LOC,5
38,AB,ORG,16
39,AEK Ateena,LOC,1
40,AEK Ateena,ORG,5
41,AET SüVARI,ORG,2
42,AET SüVARI,PER,4
43,AIDSihaige,ORG,1
44,AIDSihaige,PER,1
45,AK,LOC,20
46,AK,ORG,28
47,AR,LOC,2
48,AR,ORG,6
49,ARK,ORG,41
50,ARK,PER,3
51,ARTS,ORG,3
52,ARTS,PER,1
53,ARTnews,ORG,1
54,ARTnews,PER,2
55,AS,ORG,112
56,AS,PER,6
57,AS Riina,ORG,12
58,AS Riina,PER,1
59,ASTRA,ORG,3
60,ASTRA,PER,3
61,AUMa Expo,ORG,2
62,AUMa Expo,PER,4
63,Aa,LOC,8
64,Aa,PER,1
65,Aabreldaal,ORG,1
66,Aabreldaal,PER,7
67,Aachim,ORG,1
68,Aachim,PER,1
69,Aadam,LOC,1
70,Aadam,ORG,1
71,Aadam,PER,10
72,Aafrika,LOC,460
73,Aafrika,PER,2
74,Aakre,LOC,1
75,Aakre,PER,1
76,Aalborg,LOC,2
77,Aalborg,ORG,3
78,Aalto,LOC,1
79,Aalto,ORG,4
80,Aalto,PER,68
81,Aaltole,LOC,1
82,Aaltole,ORG,2
83,Aaltole,PER,1
84,Aaltost,ORG,1
85,Aaltost,PER,1
86,Aapo,ORG,1
87,Aapo,PER,9
88,Aapo pukk,ORG,1
89,Aapo pukk,PER,4
90,Aarau,LOC,1
91,Aarau,ORG,1
92,Aarma,ORG,4
93,Aarma,PER,8
94,Aas,ORG,1
95,Aas,PER,18
96,Aasma,ORG,2
97,Aasma,PER,8
98,Aatami,ORG,1
99,Aatami,PER,7
100,Aava,ORG,2
101,Aava,PER,9
102,Aavik,LOC,19
103,Aavik,ORG,4
104,Aavik,PER,59
105,Abba,ORG,12
106,Abba,PER,1
107,Abbas,LOC,1
108,Abbas,PER,2
109,Abbat,ORG,1
110,Abbat,PER,1
111,Abdul-Rauf,LOC,1
112,Abdul-Rauf,PER,6
113,Aberdeen,LOC,9
114,Aberdeen,ORG,1
115,Abessiinia,LOC,1
116,Abessiinia,ORG,1
117,Abisheva,LOC,1
118,Abisheva,ORG,2
119,Abisheva,PER,4
120,Abja,LOC,4
121,Abja,ORG,1
122,Abja-Paluoja,LOC,6
123,Abja-Paluoja,PER,1
124,Abobase,LOC,2
125,Abobase,PER,1
126,Abu Mazen,ORG,3
127,Abu Mazen,PER,3
128,Abwehr,LOC,2
129,Abwehr,PER,3
130,Abydos,LOC,2
131,Abydos,ORG,1
132,Abydos,PER,2
133,Accademia,ORG,2
134,Accademia,PER,1
135,Ace,LOC,1
136,Ace,ORG,1
137,Ace,PER,6
138,Acer,ORG,1
139,Acer,PER,3
140,Action Group,ORG,1
141,Action Group,PER,1
142,Adagio,ORG,1
143,Adagio,PER,1
144,Adamson-Eric,LOC,2
145,Adamson-Eric,PER,35
146,Adamson-Eric Muuseum,ORG,1
147,Adamson-Eric Muuseum,PER,2
148,Adamson-Eric muuseum,ORG,1
149,Adamson-Eric muuseum,PER,1
150,Addis Abeba,ORG,3
151,Addis Abeba,PER,1
152,Adelai,LOC,1
153,Adelai,PER,1
154,Adelaide,LOC,6
155,Adelaide,PER,3
156,Ader,LOC,1
157,Ader,PER,3
158,Adidas,LOC,2
159,Adidas,ORG,36
160,Adik Levin,ORG,1
161,Adik Levin,PER,5
162,Adlas,ORG,1
163,Adlas,PER,17
164,Adler,LOC,4
165,Adler,PER,9
166,Adlon,LOC,1
167,Adlon,PER,2
168,Adoptions Centrum,ORG,2
169,Adoptions Centrum,PER,2
170,Adson,LOC,2
171,Adson,ORG,1
172,Adson,PER,23
173,Advertising,ORG,1
174,Advertising,PER,1
175,Advokaadi Vill,ORG,2
176,Advokaadi Vill,PER,2
177,Aegna,LOC,39
178,Aegna,ORG,4
