,Lemma,Tag
0,Tallinn,LOC
14,Euroopa,LOC
17,Postimees,ORG
19,taksopark,ORG
21,Tallinn,LOC
66,Tallinn keskkonnaamet,ORG
68,Madis Kõrvits,PER
73,Tallinn,LOC
91,Kõrvits,PER
116,Tallinn,LOC
126,Euroopa,LOC
128,kõrvits,PER
131,Tallinn,LOC
138,Helsingi,LOC
143,Stockholm,LOC
145,Tallinn,LOC
148,Göteborg,LOC
153,Eesti,LOC
155,Tallinn,LOC
158,Tartu,LOC
167,kõrvits,PER
194,kõrvits,PER
207,Kõrvits,PER
234,Kõrvits,PER
245,põhi politseiprefektuur,ORG
249,justiitsministeerium,ORG
250,Delfi,ORG
261,Eesti Päevaleht,ORG
277,Margus Kurm,PER
279,Robert Antropov,PER
281,Raivo Küüd,PER
317,Antropov,PER
328,Margus Leivo,PER
333,Ken-Mart Vaherile,PER
341,Leivo,PER
369,Tallinn,LOC
374,Klenski,PER
375,Laar,PER
380,Mart Laar,PER
386,Dimitri Klenski,PER
388,Klenski,PER
393,Rootsi,LOC
405,Eesti vabariik,LOC
407,Tiit Uustalu,PER
408,uustalu,PER
411,Rootsi,LOC
412,Venemaa,LOC
421,Rootsi riik,LOC
426,Eesti kaitseministeerium,ORG
438,Klenski,PER
444,Stockholm,LOC
448,Rootsi riik,LOC
451,Klenski,PER
453,Stockholm,LOC
455,Eesti,LOC
456,Mart Laarile,PER
463,uustalu,PER
471,Laar,PER
475,Klenski,PER
477,Laar,PER
500,Balt meri,LOC
501,Tallinn,LOC
502,Stockholm,LOC
507,Vene,LOC
509,Gruusia,LOC
511,Venemaa,LOC
514,Gruusia,LOC
517,Sergei Lavrov,PER
520,gruusia,LOC
522,Lavrov,PER
528,vene,LOC
529,Gruusia,LOC
532,ETV,ORG
534,Lavrov,PER
544,vene,LOC
549,gruusia,LOC
552,Venemaa,LOC
558,Gruusia,LOC
559,Batumi,LOC
567,Ahhalkalk,LOC
576,Gruusia,LOC
577,Armeenia,LOC
578,Gjurm,LOC
580,Vene,LOC
583,oksmaa,LOC
589,Arnold oksmaa,PER
590,sl Õhtulehele,ORG
598,Maarika,PER
632,oksmaa,PER
637,Süldipunt,ORG
638,Maarika Jurton,PER
679,Isamaaliit,ORG
682,Tallinn,LOC
690,Isamaaliit,ORG
692,Tallinn,LOC
699,Eesti vabariik,LOC
715,Eesti,LOC
717,Tartu,LOC
722,Isamaaliit,ORG
729,Eesti,LOC
734,Venemaa,LOC
735,Putin,PER
739,Eesti,LOC
743,Isamaaliit,ORG
748,Venemaa,LOC
749,Eesti,LOC
752,Venemaa,LOC
757,Venemaa,LOC
762,Venemaa,LOC
763,Eesti,LOC
769,Pikaro,PER
771,Purjet,LOC
773,Koit Pikaro,PER
778,Andrus Purje,PER
792,Pikaro,PER
797,Postimees,ORG
798,Pikaro,PER
820,Läti,LOC
822,Läti,LOC
823,Eesti,LOC
829,Ikla-Ainaž,LOC
832,Läti,LOC
834,Aigars Dzjubo,PER
842,Pärnu,LOC
845,Pärnu Postimees,ORG
848,Pärnu,LOC
853,Poola,LOC
856,Poola,LOC
864,Vend Lech,PER
865,Jaroslaw Kaczynsk,PER
870,PM Online BBC,ORG
872,Lech,PER
873,Varssavi,LOC
875,Jaroslaw,PER
877,Poola,LOC
906,Lechil,PER
911,Vilnius,LOC
912,CNN,ORG
914,Vilnius,LOC
918,Arturas Zuokas,PER
920,Vilnius,LOC
924,Zuokas,PER
928,Cable News Network,ORG
929,CNN,ORG
931,Independent Television News,ORG
932,ITN,ORG
934,Euroopa,LOC
937,Vilnius,LOC
938,kesk,LOC
940,Ida-Euroobas,LOC
945,Minsk,LOC
946,Varssavi,LOC
949,Leedu,LOC
950,Lietuvos Rytas,ORG
954,Zuokas,PER
956,Vilnius,LOC
960,ITN,ORG
968,CNN,ORG
976,Vilnius,LOC
980,Zuokas,PER
981,ITN,ORG
982,Iraak,LOC
986,BBC,ORG
991,Pariis,LOC
992,Euroopa,LOC
1003,Vilnius,LOC
1004,Leedu,LOC
1007,Riia,LOC
1008,Tallinn,LOC
1014,Zuokas,PER
1015,Vilnius,LOC
1018,Lufthansa,ORG
1019,British Airways,ORG
1020,SAS,ORG
1022,Vilnius,LOC
1024,Leedu,LOC
1029,Zuokas,PER
1031,Vilnius,LOC
1035,Austria,LOC
1036,Prantsusmaa,LOC
1037,Suurbritannia,LOC
1038,USA,LOC
1042,Vilnius,LOC
1049,Zuokas,PER
1060,Zimbabwe,LOC
1061,Kambodža,LOC
1062,Pol Poti,PER
1063,Uus-Meremaa,LOC
1064,Phil Goff,PER
1065,Robert Mugabe,PER
1066,Zimbabwe,LOC
1067,Pol Poti,PER
1068,Kambodža,LOC
1070,Goff,PER
1077,Zimbabwe,LOC
1079,CNN,ORG
1080,Uus-Meremaa,LOC
1083,Zimbabwe,LOC
1086,Pol Poti,PER
1105,Mugabe,PER
1128,Zimbabwe,LOC
1161,Mulgimaa,LOC
1163,Viljandimaa,LOC
1164,Tarvastu vald,LOC
1172,Valgamaa,LOC
1179,Viljandimaa,LOC
1180,Tarvastu vald,LOC
1190,Delfi Lõuna politsei,ORG
1196,Pärnumaa,LOC
1205,Saaremaa,LOC
1206,Järvamaa,LOC
1209,USA,LOC
1211,Ühendriik,LOC
1214,New York Times,ORG
1215,Judith Miller,PER
1220,Miller,PER
1229,PM Online New York Times,ORG
1243,USA,LOC
1244,CIA,ORG
1256,CIA,ORG
1260,New York Times,ORG
1271,Naissaar,LOC
1275,Copterline,ORG
1281,Andrus Ansip,PER
1298,Ansip,PER
1309,majandus - ja kommunikatsiooniministeerium,ORG
1315,Komisjon,ORG
1316,Tõnu Ader,PER
