,lemma,tag,0
48,A,LOC,8
49,A,ORG,27
62,A S,LOC,1
63,A S,ORG,3
74,A-grupp,LOC,1
75,A-grupp,ORG,2
90,A. H. Tammsaare,LOC,2
91,A. H. Tammsaare,PER,1
92,A. H. Tammsaare memoriaalmuuseum,ORG,1
93,A. H. Tammsaare memoriaalmuuseum,PER,1
118,A. Papulovas,LOC,1
119,A. Papulovas,PER,1
145,AA-Trading,ORG,5
146,AA-Trading,PER,3
147,AA-Tradingu,LOC,3
148,AA-Tradingu,ORG,2
149,AA-Tradingu,PER,2
158,AB,LOC,5
159,AB,ORG,11
195,AEK Ateena,LOC,1
196,AEK Ateena,ORG,5
234,AK,LOC,11
235,AK,ORG,11
284,AR,LOC,1
285,AR,ORG,6
293,AS,ORG,70
294,AS,PER,2
895,AS Riina,ORG,12
896,AS Riina,PER,1
1259,AUMa Expo,ORG,2
1260,AUMa Expo,PER,4
1279,Aadam,ORG,1
1280,Aadam,PER,3
1307,Aafrika,LOC,145
1308,Aafrika,PER,1
1319,Aalborg,LOC,1
1320,Aalborg,ORG,2
1338,Aapo pukk,ORG,1
1339,Aapo pukk,PER,1
1341,Aarau,LOC,1
1342,Aarau,ORG,1
1404,Aarma,ORG,1
1405,Aarma,PER,1
1457,Aas,ORG,1
1458,Aas,PER,9
1471,Aava,ORG,1
1472,Aava,PER,4
1482,Aavik,LOC,8
1483,Aavik,ORG,4
1484,Aavik,PER,26
1509,Abbas,LOC,1
1510,Abbas,PER,2
1531,Abdul-Rauf,LOC,1
1532,Abdul-Rauf,PER,6
1556,Aberdeen,LOC,6
1557,Aberdeen,ORG,1
1565,Abisheva,LOC,1
1566,Abisheva,ORG,2
1567,Abisheva,PER,4
1570,Abja,LOC,1
1571,Abja,ORG,1
1596,Abu Mazen,ORG,3
1597,Abu Mazen,PER,3
1645,Adamson-Eric Muuseum,ORG,1
1646,Adamson-Eric Muuseum,PER,2
1652,Addis Abeba,ORG,2
1653,Addis Abeba,PER,1
1664,Adik Levin,ORG,1
1665,Adik Levin,PER,3
1669,Adlas,ORG,1
1670,Adlas,PER,15
1707,Adson,ORG,1
1708,Adson,PER,1
1716,Aegna,LOC,17
1717,Aegna,ORG,4
1726,Aeroflot,LOC,2
1727,Aeroflot,PER,2
1729,Aeromet,ORG,11
1730,Aeromet,PER,3
1759,Aftonbladet,ORG,4
1760,Aftonbladet,PER,1
1762,Agadir,LOC,3
1763,Agadir,PER,3
1773,Age,LOC,1
1774,Age,PER,10
1798,Agip,ORG,2
1799,Agip,PER,3
1841,Ago-Endrik Kerge,ORG,1
1842,Ago-Endrik Kerge,PER,3
1847,Agrosif,LOC,2
1848,Agrosif,ORG,2
1849,Agrosif,PER,2
1872,Ahas,ORG,1
1873,Ahas,PER,2
1874,Ahas Tii,ORG,3
1875,Ahas Tii,PER,2
1884,Ahma Shah Massou,ORG,1
1885,Ahma Shah Massou,PER,1
1898,Ahme Porkveli,ORG,4
1899,Ahme Porkveli,PER,12
1911,Ahonen,ORG,1
1912,Ahonen,PER,6
1918,Ahter,LOC,5
1919,Ahter,ORG,5
1965,Aia,ORG,1
1966,Aia,PER,1
1970,Aidem Pot,ORG,1
1971,Aidem Pot,PER,3
1978,Aidu,LOC,3
1979,Aidu,ORG,1
1980,Aiesec,ORG,1
1981,Aiesec,PER,3
2052,Aimla,LOC,1
2053,Aimla,PER,3
2139,Ainjärv,ORG,1
2140,Ainjärv,PER,4
2204,Airbus,ORG,1
2205,Airbus,PER,1
2208,Aires,LOC,1
2209,Aires,PER,1
2372,Ajax,LOC,1
2373,Ajax,ORG,7
2374,Ajax,PER,17
2376,Ajax Amsterdam,ORG,1
2377,Ajax Amsterdam,PER,11
2379,Ajaxi,ORG,1
2380,Ajaxi,PER,3
2389,Akadeemia,LOC,3
2390,Akadeemia,ORG,14
2420,Akropol,LOC,1
2421,Akropol,ORG,1
2422,Akropol,PER,1
2455,Aktuaalne kaamera,ORG,7
2456,Aktuaalne kaamera,PER,1
2460,Al Gore,ORG,4
2461,Al Gore,PER,3
2582,Albacete,LOC,1
2583,Albacete,ORG,2
2584,Albacete,PER,1
2585,Albacomp,LOC,10
2586,Albacomp,ORG,4
2587,Albacomp,PER,13
2650,Aldaris,LOC,1
2651,Aldaris,ORG,2
2686,Aleksander,LOC,1
2687,Aleksander,ORG,6
2688,Aleksander,PER,20
2703,Aleksander Buzin,ORG,1
2704,Aleksander Buzin,PER,2
2709,Aleksander Eelmaa,ORG,3
2710,Aleksander Eelmaa,PER,2
2713,Aleksander Eller,ORG,3
2714,Aleksander Eller,PER,2
2721,Aleksander I,ORG,1
2722,Aleksander I,PER,1
2731,Aleksander Jõgipõld,ORG,1
2732,Aleksander Jõgipõld,PER,1
2740,Aleksander Kirm,ORG,8
2741,Aleksander Kirm,PER,5
2747,Aleksander Kovaltshuk,ORG,1
2748,Aleksander Kovaltshuk,PER,1
2754,Aleksander Kägu,ORG,2
2755,Aleksander Kägu,PER,8
2761,Aleksander Lebe,ORG,4
2762,Aleksander Lebe,PER,2
2763,Aleksander Lebed,ORG,1
2764,Aleksander Lebed,PER,2
2770,Aleksander Lõhmus,ORG,1
2771,Aleksander Lõhmus,PER,2
2774,Aleksander Monakov,ORG,2
2775,Aleksander Monakov,PER,7
2789,Aleksander Rosenberg,ORG,2
2790,Aleksander Rosenberg,PER,1
2805,Aleksander Veingold,ORG,3
2806,Aleksander Veingold,PER,1
3077,Alexela,LOC,7
3078,Alexela,ORG,6
3079,Alexela,PER,8
3146,Alhazurovo,LOC,1
3147,Alhazurovo,ORG,1
3149,Ali,LOC,2
3150,Ali,PER,8
3179,Alina,LOC,1
3180,Alina,PER,1
3197,Alke grupp,ORG,1
3198,Alke grupp,PER,1
3278,Allikmaa,LOC,1
3279,Allikmaa,PER,16
3285,Alliksoo,LOC,1
3286,Alliksoo,PER,1
3292,Allsvenskan,LOC,1
3293,Allsvenskan,PER,2
3302,Alma-Ata,LOC,4
3303,Alma-Ata,PER,1
3310,Almelo,LOC,1
3311,Almelo,ORG,1
3369,Alternaria,LOC,1
3370,Alternaria,PER,8
3373,Alti Vahkal,ORG,2
3374,Alti Vahkal,PER,5
3388,Aluksne,ORG,1
3389,Aluksne,PER,1
3409,Alver,ORG,3
3410,Alver,PER,14
3419,Alvik,ORG,2
3420,Alvik,PER,2
3431,Alzheeria,LOC,29
3432,Alzheeria,ORG,8
3433,Alzheeria,PER,1
3436,Alzheimer,LOC,3
3437,Alzheimer,ORG,1
3438,Alzheimer,PER,2
3440,Alzhiir,LOC,1
3441,Alzhiir,PER,2
3450,Amanda,ORG,1
3451,Amanda,PER,2
3499,Ameerika mägi,LOC,2
3500,Ameerika mägi,ORG,1
3545,Amman,LOC,5
3546,Amman,PER,3
3550,Amoco,LOC,2
3551,Amoco,ORG,1
3552,Amoco,PER,3
3565,Amserv,LOC,1
3566,Amserv,PER,2
3569,Amserv Grup,ORG,1
3570,Amserv Grup,PER,2
3579,Amsterdam,LOC,22
3580,Amsterdam,ORG,1
3581,Amsterdam,PER,1
3583,Amsterdam Ajax,ORG,1
3584,Amsterdam Ajax,PER,1
3588,Amstrig,ORG,3
3589,Amstrig,PER,4
3606,Anaheim,LOC,15
3607,Anaheim,ORG,9
3608,Analüütik,ORG,1
3609,Analüütik,PER,3
3613,Anantnag,LOC,1
3614,Anantnag,PER,1
3668,Anatoli Shmigun,ORG,4
3669,Anatoli Shmigun,PER,22
3700,Anderlecht,ORG,1
3701,Anderlecht,PER,2
3720,Anderstorp,ORG,2
3721,Anderstorp,PER,1
3723,Andi,ORG,2
3724,Andi,PER,1
3727,Andi Meister,ORG,1
3728,Andi Meister,PER,6
3738,Ando Keskküla,ORG,1
3739,Ando Keskküla,PER,19
4355,Angerja,ORG,1
4356,Angerja,PER,1
4362,Angoola,LOC,14
4363,Angoola,ORG,1
4364,Angoola,PER,2
4369,Ani,LOC,16
4370,Ani,PER,22
4377,Anil,ORG,1
4378,Anil,PER,2
4411,Anna,ORG,1
4412,Anna,PER,25
4461,Annan,LOC,1
4462,Annan,PER,10
4463,Anne,LOC,4
4464,Anne,ORG,2
4465,Anne,PER,75
4551,Anne-Loore,LOC,3
4552,Anne-Loore,PER,2
4566,Anneli,LOC,1
4567,Anneli,ORG,1
4568,Anneli,PER,55
4679,Antarktika,LOC,12
4680,Antarktika,PER,1
4713,Anti Järvelaid,ORG,1
4714,Anti Järvelaid,PER,4
4745,Anton,ORG,1
4746,Anton,PER,25
4942,Anttila,LOC,11
4943,Anttila,ORG,12
4944,Anttila,PER,23
4948,Antverpen,LOC,6
4949,Antverpen,ORG,1
4950,Antverpen,PER,6
5029,Anwar sada,ORG,1
5030,Anwar sada,PER,2
5048,Apeland,ORG,1
5049,Apeland,PER,13
5052,Apex Racingu,ORG,1
5053,Apex Racingu,PER,1
5063,Apollo,ORG,1
5064,Apollo,PER,3
5066,Apollon,ORG,2
5067,Apollon,PER,1
5082,Aqaba,LOC,1
5083,Aqaba,PER,1
5087,Aquatic Centeris,ORG,1
5088,Aquatic Centeris,PER,1
5102,Arafa,LOC,1
5103,Arafa,PER,1
5104,Arafat,LOC,12
5105,Arafat,PER,129
5112,Arafati,LOC,3
5113,Arafati,PER,4
5115,Arafatile,LOC,3
5116,Arafatile,PER,2
5124,Araka,ORG,1
5125,Araka,PER,2
5129,Arantxa Sanchez-Vicario,ORG,1
5130,Arantxa Sanchez-Vicario,PER,19
5140,Arbeiter,LOC,2
5141,Arbeiter,ORG,5
5142,Arbeiter,PER,12
5148,Arbil,LOC,2
5149,Arbil,PER,12
5152,Arbili,ORG,1
5153,Arbili,PER,7
5180,Ardo Ran Varres,ORG,1
5181,Ardo Ran Varres,PER,1
5186,Ardu,LOC,2
5187,Ardu,ORG,1
5188,Are,LOC,1
5189,Are,ORG,2
5190,Are,PER,2
5194,Are Kaurit,ORG,2
5195,Are Kaurit,PER,7
5197,Are Kauritile-Arvo Laksbergile,ORG,1
5198,Are Kauritile-Arvo Laksbergile,PER,1
5200,Are Leesik,ORG,1
5201,Are Leesik,PER,1
5210,Areto,LOC,1
5211,Areto,PER,1
5215,Argentiina,LOC,103
5216,Argentiina,PER,1
5220,Argo,LOC,1
5221,Argo,PER,6
5261,Ari-Pekka Nikkola,ORG,2
5262,Ari-Pekka Nikkola,PER,9
5277,Ariste,ORG,2
5278,Ariste,PER,3
5351,Arnau Boetsch,ORG,2
5352,Arnau Boetsch,PER,7
5355,Arnau Dautrempuis,ORG,3
5356,Arnau Dautrempuis,PER,1
5408,Arno Tali,ORG,1
5409,Arno Tali,PER,1
5480,Ars,LOC,2
5481,Ars,PER,2
5483,Arsenal,ORG,23
5484,Arsenal,PER,1
5498,Arso Rai,ORG,1
5499,Arso Rai,PER,1
5579,Aru,LOC,1
5580,Aru,PER,8
5583,Aruka,LOC,3
5584,Aruka,ORG,1
5604,Arvi,LOC,1
5605,Arvi,PER,6
5624,Arvi Vask,ORG,1
5625,Arvi Vask,PER,2
5728,Aserbaidzhaan,LOC,32
5729,Aserbaidzhaan,ORG,6
5730,Aserbaidzhaan,PER,10
5733,Aseri,LOC,9
5734,Aseri,PER,6
5740,Ash,LOC,1
5741,Ash,PER,1
5754,Asiago,LOC,5
5755,Asiago,ORG,2
5756,Asiago,PER,1
5757,Asiagos,ORG,1
5758,Asiagos,PER,1
5761,Asif Ali Zardar,ORG,1
5762,Asif Ali Zardar,PER,1
5787,Aspek,LOC,1
5788,Aspek,ORG,1
5789,Aspek,PER,2
5791,Assa,ORG,1
5792,Assa,PER,1
5825,Astang,LOC,5
5826,Astang,ORG,2
5831,Astlanda,LOC,6
5832,Astlanda,ORG,1
5869,Atapi,ORG,1
5870,Atapi,PER,1
5872,Ateena,LOC,52
5873,Ateena,ORG,2
5886,Athens,LOC,1
5887,Athens,PER,1
5888,Athletic Bilbao,ORG,3
5889,Athletic Bilbao,PER,3
5896,Atlandi,LOC,3
5897,Atlandi,ORG,7
5902,Atlanta,LOC,446
5903,Atlanta,ORG,24
5904,Atlanta,PER,8
5912,Atlanta OM,LOC,1
5913,Atlanta OM,ORG,7
5929,Atlantis,ORG,10
5930,Atlantis,PER,1
5935,Atletico Madrid,ORG,2
5936,Atletico Madrid,PER,6
5959,Audak,LOC,1
5960,Audak,PER,2
5962,Audi,ORG,3
5963,Audi,PER,4
5975,Aug,ORG,4
5976,Aug,PER,4
6043,Aurora,ORG,1
