,tag,form,0
470,ORG,"['', '', '', 'sg in']",1
2824,PER,"['', '', '?']",1
471,ORG,"['', '', '?']",1
472,ORG,"['', '', 'pl g', 'sg g']",1
2825,PER,"['', '', 'sg g']",2
473,ORG,"['', '', 'sg g']",3
2826,PER,"['', '', 'sg n', '', '']",1
474,ORG,"['', '', 'sg n']",1
2827,PER,"['', '']",7
475,ORG,"['', '']",139
0,LOC,"['', '']",2
2828,PER,"['', '?', '', '?']",2
2829,PER,"['', '?', '', 'sg n']",1
476,ORG,"['', '?', '']",1
477,ORG,"['', '?', '?', 'sg n']",1
478,ORG,"['', '?', 'sg g']",1
479,ORG,"['', '?', 'sg in']",1
480,ORG,"['', '?', 'sg n']",1
481,ORG,"['', '?']",11
1,LOC,"['', '?']",2
2830,PER,"['', '?']",15
482,ORG,"['', 'adt', 'adt']",1
2831,PER,"['', 'adt']",1
483,ORG,"['', 'adt']",6
484,ORG,"['', 'b', 'sg ill']",1
2832,PER,"['', 'o']",1
2,LOC,"['', 'pl el']",5
485,ORG,"['', 'pl g', 'adt', 'adt']",1
486,ORG,"['', 'pl g', 'adt']",1
487,ORG,"['', 'pl g', 'pl g', 'sg g']",3
488,ORG,"['', 'pl g', 'pl g', 'sg in']",1
489,ORG,"['', 'pl g', 'sg abl']",1
490,ORG,"['', 'pl g', 'sg all']",2
491,ORG,"['', 'pl g', 'sg el']",1
492,ORG,"['', 'pl g', 'sg g', 'sg g']",3
493,ORG,"['', 'pl g', 'sg g']",18
494,ORG,"['', 'pl g', 'sg n']",9
495,ORG,"['', 'pl g']",10
3,LOC,"['', 'pl g']",112
2833,PER,"['', 'pl g']",2
4,LOC,"['', 'pl ill']",1
2834,PER,"['', 'pl in']",2
5,LOC,"['', 'pl in']",13
496,ORG,"['', 'pl in']",1
497,ORG,"['', 'pl kom']",1
6,LOC,"['', 'pl kom']",3
2835,PER,"['', 'pl n', '', '']",1
498,ORG,"['', 'pl n', 'sg g']",2
499,ORG,"['', 'pl n', 'sg n', '', '?']",1
