,Lemma,Tag
0,Tallinn,LOC
1,suurenema,
2,kuigi,
3,nädal,
4,öö,
5,kõrge,
6,õhusaaste,
7,pealinn,
8,haruldane,
9,",",
10,linnaõhk,
11,järjekindlalt,
12,",",
13,teine,
14,Euroopa,LOC
15,.,
16,kirjutama,
17,Postimees,ORG
18,registreerima,
19,taksopark,ORG
20,11.,
21,Tallinn,LOC
22,rekord,
23,kuigi,
24,aasta,
25,olema,
26,õhk,
27,märksa,
28,",",
29,vabandama,
30,linn,
31,sõna,
32,taas,
33,muutumine,
34,linn,
35,mõõtejaam,
36,paar-kolm,
37,aasta,
38,õhusaaste,
39,kuid,
40,ronima,
41,ka,
42,saaste,
43,.,
44,sisalduma,
45,mõõtmine,
46,keskmine,
47,täpselt,
48,palju,
49,",",
50,nägema,
51,lubama,
52,.,
53,",",
54,tund,
55,",",
56,50,
57,kuupmeeter,
58,ja,
59,võima,
60,35,
61,aasta,
62,mis,
63,olema,
64,ette,
65,.,
66,Tallinn keskkonnaamet,ORG
67,osakond,
68,Madis Kõrvits,PER
69,",",
70,üksik,
71,näidu,
72,muutma,
73,Tallinn,LOC
74,veel,
75,",",
76,rõõmustama,
77,samuti,
78,üle,
79,sest,
80,aasta,
81,olnud,
82,õhk,
83,hakanud,
84,juurdevool,
85,taas,
86,.,
87,samas,
88,paanika,
89,",",
90,sõnama,
91,Kõrvits,PER
92,“,
93,saaste,
94,tõusma,
95,tasuma,
96,tuba,
97,pikaajaline,
98,aga,
99,.,
100,tema,
101,näide,
102,nädal,
103,",",
104,tervis,
105,saaste,
106,õhk,
107,mõni,
108,-,
109,vähe,
110,",",
111,keskkonnaametnik,
112,seadus,
113,nägema,
114,hoiatama,
115,kui,
116,Tallinn,LOC
117,saastatus,
118,asuv,
119,",",
120,",",
121,tulemus,
122,üsna,
123,ja,
124,linn,
125,õigus,
126,Euroopa,LOC
127,seas,
128,kõrvits,PER
129,",",
130,kui,
131,Tallinn,LOC
132,peentolm,
133,õhk,
134,ristmik,
135,250,
136,kuupmeeter,
137,",",
138,Helsingi,LOC
139,mõõtur,
140,tase,
141,hommikune,
142,.,
143,Stockholm,LOC
144,olema,
145,Tallinn,LOC
146,tunduvalt,
147,",",
148,Göteborg,LOC
149,saastenäitur,
150,200,
151,kuupmeeter,
152,.,
153,Eesti,LOC
154,olema,
155,Tallinn,LOC
156,võrdlema,
157,näide,
158,Tartu,LOC
159,õhupuhtus,
160,ajutiselt,
161,.,
162,olema,
163,paik,
164,suvi,
165,vaid,
166,päralt,
167,kõrvits,PER
168,",",
169,öö,
170,11.,
171,toimunu,
172,nimetama,
173,ebasoodne,
174,kokkulangemine,
175,see,
176,kohta,
177,käredam,
178,ilmuma,
179,linlane,
180,kütma,
181,sama,
182,käivitamine,
183,soojendamine,
184,rohkem,
185,õhtu,
186,mineja,
187,.,
188,panus,
189,sündimine,
190,ka,
191,olematu,
192,ning,
193,liikumatus,
194,kõrvits,PER
195,olema,
196,talv,
