,Lemma,Tag
0,Tallinn,LOC
14,Euroopa,LOC
17,Postimees,ORG
19,taksopark,ORG
21,Tallinn,LOC
66,Tallinn keskkonnaamet,ORG
68,Madis Kõrvits,PER
73,Tallinn,LOC
91,Kõrvits,PER
116,Tallinn,LOC
126,Euroopa,LOC
128,kõrvits,PER
131,Tallinn,LOC
138,Helsingi,LOC
143,Stockholm,LOC
145,Tallinn,LOC
148,Göteborg,LOC
153,Eesti,LOC
155,Tallinn,LOC
158,Tartu,LOC
167,kõrvits,PER
194,kõrvits,PER
207,Kõrvits,PER
234,Kõrvits,PER
245,põhi politseiprefektuur,ORG
249,justiitsministeerium,ORG
250,Delfi,ORG
261,Eesti Päevaleht,ORG
277,Margus Kurm,PER
279,Robert Antropov,PER
281,Raivo Küüd,PER
316,Antropov,PER
327,Margus Leivo,PER
332,Ken-Mart Vaherile,PER
340,Leivo,PER
368,Tallinn,LOC
373,Klenski,PER
374,Laar,PER
379,Mart Laar,PER
385,Dimitri Klenski,PER
387,Klenski,PER
392,Rootsi,LOC
404,Eesti vabariik,LOC
406,Tiit Uustalu .,PER
407,uustalu,PER
410,Rootsi,LOC
411,Venemaa,LOC
420,Rootsi riik,LOC
425,Eesti kaitseministeerium,ORG
437,Klenski,PER
443,Stockholm,LOC
447,Rootsi riik,LOC
450,Klenski,PER
452,Stockholm,LOC
454,Eesti,LOC
455,Mart Laarile,PER
462,uustalu,PER
470,Laar,PER
474,Klenski,PER
476,Laar,PER
500,Balt meri,LOC
501,Tallinn,LOC
502,Stockholm,LOC
507,Vene,LOC
509,Gruusia,LOC
511,Venemaa,LOC
514,Gruusia,LOC
517,Sergei Lavrov,PER
520,gruusia,LOC
522,Lavrov,PER
528,vene,LOC
529,Gruusia,LOC
532,ETV,ORG
534,Lavrov,PER
544,vene,LOC
549,gruusia,LOC
552,Venemaa,LOC
558,Gruusia,LOC
559,Batumi,LOC
567,Ahhalkalk,LOC
576,Gruusia,LOC
577,Armeenia,LOC
578,Gjurm,LOC
580,Vene,LOC
583,oksmaa,LOC
589,Arnold oksmaa,PER
590,sl Õhtulehele,ORG
598,Maarika,PER
633,oksmaa,PER
638,süldipunt,ORG
639,Maarika Jurton,PER
681,Isamaaliit,ORG
684,Tallinn,LOC
692,Isamaaliit,ORG
694,Tallinn,LOC
701,Eesti vabariik,LOC
717,Eesti,LOC
719,Tartu,LOC
724,Isamaaliit,ORG
731,Eesti,LOC
736,Venemaa,LOC
737,Putin,PER
741,Eesti,LOC
745,Isamaaliit,ORG
750,Venemaa,LOC
751,Eesti,LOC
754,Venemaa,LOC
759,Venemaa,LOC
764,Venemaa,LOC
765,Eesti,LOC
771,Pikaro,PER
773,Purjet,LOC
775,Koit Pikaro,PER
780,Andrus Purje,PER
794,Pikaro,PER
799,Postimees,ORG
800,Pikaro,PER
822,Läti,LOC
824,Läti,LOC
825,Eesti,LOC
831,Ikla-Ainaž,LOC
834,Läti,LOC
836,Aigars Dzjubo,PER
844,Pärnu,LOC
847,Pärnu Postimees,ORG
850,Pärnu,LOC
855,Poola,LOC
858,Poola,LOC
866,Vend Lech,PER
867,Jaroslaw Kaczynsk,PER
872,PM Online BBC,ORG
874,Lech,PER
875,Varssavi,LOC
877,Jaroslaw,PER
879,Poola,LOC
908,Lechil,PER
913,Vilnius,LOC
914,CNN,ORG
916,Vilnius,LOC
920,Arturas Zuokas,PER
922,Vilnius,LOC
926,Zuokas,PER
930,Cable News Network,ORG
931,CNN,ORG
933,Independent Television News,ORG
934,ITN,ORG
936,Euroopa,LOC
939,Vilnius,LOC
940,kesk,LOC
942,Ida-Euroobas,LOC
947,Minsk,LOC
948,Varssavi,LOC
951,Leedu,LOC
952,Lietuvos Ryta,ORG
956,Zuokas,PER
958,Vilnius,LOC
962,ITN,ORG
970,CNN,ORG
978,Vilnius,LOC
983,Zuokas,PER
984,ITN,ORG
985,Iraak,LOC
989,BBC,ORG
994,Pariis,LOC
995,Euroopa,LOC
1006,Vilnius,LOC
1007,Leedu,LOC
1010,Riia,ORG
1011,Tallinn,LOC
1017,Zuokas,PER
1018,Vilnius,LOC
1021,Lufthansa,ORG
1022,British Airways,ORG
1023,SAS,ORG
1025,Vilnius,LOC
1027,Leedu,LOC
1032,Zuokas,PER
1034,Vilnius,LOC
1038,Austria,LOC
1039,Prantsusmaa,LOC
1040,Suurbritannia,LOC
1041,USA,LOC
1045,Vilnius,LOC
1052,Zuokas,PER
1063,Zimbabwe,LOC
1064,Kambodža,LOC
1065,Pol Poti,PER
1066,Uus-Meremaa,LOC
1067,Phil Goff,PER
1068,Robert Mugabe,PER
1069,Zimbabwe,LOC
1070,Pol Poti,PER
1071,Kambodža,LOC
1073,Goff,PER
1080,Zimbabwe,LOC
1082,CNN .,ORG
1083,Uus-Meremaa,LOC
1086,Zimbabwe,LOC
1089,Pol Poti,PER
1109,Mugabe,PER
1132,Zimbabwe,LOC
1164,Mulgimaa,LOC
1166,Viljandimaa,LOC
1167,Tarvastu vald,LOC
1175,Valgamaa,LOC
1182,Viljandimaa,LOC
1183,Tarvastu vald,LOC
1193,Delfi Lõuna politsei,ORG
1199,Pärnumaa,LOC
1208,Saaremaa,LOC
1209,Järvamaa,LOC
1212,USA,LOC
1214,Ühendriik,LOC
1217,New York Times,ORG
1218,Judith Miller,PER
1223,Miller,PER
1232,PM Online New York Times,ORG
1246,USA,LOC
1247,CIA,ORG
1259,CIA,ORG
1263,New York Times,ORG
1274,Naissaar,LOC
1278,Copterline,ORG
1284,Andrus Ansip,PER
1301,Ansip,PER
1313,majandus - ja kommunikatsiooniministeerium,ORG
1319,Komisjon,ORG
1320,Tõnu Ader,PER
