,entity,hypotees,margendatud,text,correct
0,Pirita-Kosel,PER,LOC,ema,1
1,Eesti Raudtee,LOC,ORG,suurima,2
2,Lepik,PER,LOC,ütles,1
3,Sõnumilehes,PER,ORG,kinnitab,2
4,EE,PER,ORG,ise,2
5,Keskerakonna,LOC,ORG,linnapea,2
6,Riigikogu,LOC,ORG,suurima,2
7,Võrtsjärv,PER,LOC,meenutab,2
8,Eesti riik,PER,LOC,tunnistab,2
9,EEle,PER,ORG,ütles,2
10,Telia,PER,ORG,ise,2
11,Riigikogu,PER,ORG,kinnitab,2
12,ArcoVara,ORG,PER,juhatuse,1
13,Aftenposten,PER,ORG,ütles,2
14,Dvigateli,ORG,PER,nõukogu,1
15,Tallinna,ORG,LOC,juhatuse,2
16,Tallinn,ORG,LOC,liige,2
17,Tallinna,ORG,LOC,liige,2
18,Darmody Seene,PER,ORG,sõnul,1
19,Metsamaa,PER,LOC,ise,1
20,Jaak Peterson Tartu-Riia,LOC,PER,maanteel,3
21,PEP,PER,ORG,ise,3
22,EM,PER,ORG,ise,2
23,Koonderakond,PER,ORG,ise,2
24,Koonderakond,PER,ORG,ise,2
25,Rahumaa Cresco Väärtpaberitest,PER,ORG,ütleb,3
26,Voldemar Lapin,ORG,PER,peadirektor,2
27,Eesti,ORG,LOC,peadirektor,2
28,Eesti Näitlejate Liit,PER,ORG,tunnistab,2
29,ENL,PER,ORG,tunnistab,2
30,Riigipank,PER,ORG,ise,2
31,Tallinna Soojus,PER,ORG,ise,2
32,Trondheimis,PER,LOC,ema,2
33,Ko,PER,ORG,kinnitab,2
34,Norra,PER,LOC,ema,2
35,Dr Zilmer,PER,ORG,ütleb,1
36,Kommersant Daily,PER,ORG,ütleb,2
37,Koonderakond,PER,ORG,ise,2
38,The Economist,PER,ORG,ütleb,2
39,Silmeti,ORG,LOC,juhatuse,1
40,Floridas,LOC,ORG,elav,1
41,KGBle,PER,ORG,ise,2
42,KGBle,PER,ORG,rääkis,2
43,Siimann,LOC,PER,linnapea,2
44,Saku,PER,LOC,ise,2
45,Hr Kiisler,PER,ORG,usub,1
46,ESCO Holdingi,LOC,ORG,suurima,2
47,Saksamaa,PER,LOC,ise,2
48,Puiga külast,PER,LOC,rääkis,2
49,Kapo,PER,ORG,sõnul,2
50,Vana Kunst,PER,ORG,ise,2
51,Keskkonnaministeerium,PER,ORG,tunnistab,2
52,Eesti,PER,LOC,ütles,2
53,Menšikovidest,LOC,PER,pärit,2
54,Vaba Lava,LOC,ORG,kesklinnas,2
55,Price Waterhouse,ORG,PER,nõukogu,1
56,KTK Overall Haameri,PER,ORG,sõnul,2
57,Soome politsei,PER,ORG,kinnitab,2
58,JP,PER,ORG,abikaasa,3
59,SS,PER,ORG,ise,3
60,Tallinna Lilleküla Keskkoolist,PER,ORG,ütles,2
61,Riho Polli,ORG,PER,juhatuse,2
62,Kuperjanovi,LOC,PER,elav,3
63,Eesti Pank,PER,ORG,kinnitab,2
64,Tallinnas Tšekunovi,PER,ORG,abikaasa,3
65,MacArthuri,LOC,PER,maantee,2
66,Tallinna politseiprefektuur,PER,ORG,ise,2
67,Sumoliidust,LOC,ORG,pärit,2
68,JT,PER,ORG,ise,3
69,JT,PER,ORG,kinnitab,3
70,JT,PER,ORG,ise,3
71,Maarja-Liisi,PER,LOC,ema,1
72,Pr Eetla,PER,ORG,ise,1
73,Tallink-Finlandi,ORG,LOC,juhataja,1
74,Nõukogu,ORG,LOC,esimees,1
75,Nõukogu,ORG,LOC,esimees,1
76,SE-Bankeni,ORG,LOC,juhataja,1
77,Fripp,PER,ORG,ise,1
78,Piirivalveameti,LOC,ORG,piiri,2
79,Euroopa,PER,LOC,meenutab,2
80,QT,PER,ORG,ise,2
81,Karu,ORG,LOC,juhataja,3
82,Elina,ORG,PER,juhatuse,2
83,Elina,ORG,PER,juhataja,2
84,Kraftist Elina,ORG,PER,nõukogu,3
85,Nõukogu,ORG,LOC,esimees,1
86,Nõukogu,ORG,LOC,liige,1
87,CD,PER,ORG,ise,3
88,Tammsalust,LOC,PER,pärit,2
89,Inglismaal Norfolkis Kuningliku,LOC,ORG,armee,2
90,Elina,ORG,PER,nõukogu,2
91,Noor-Isamaa,ORG,LOC,esimees,1
92,Malmsten,LOC,PER,suurima,2
93,Soome,PER,LOC,meenutab,2
94,Pärnumaal,PER,LOC,ise,2
95,Läti,PER,LOC,meenutab,2
96,Neste,PER,ORG,räägib,2
97,Kolmapäevases Postimehes,PER,ORG,ütleb,2
98,Puerto Rico,LOC,ORG,suurima,1
99,Tallinn,PER,LOC,ise,2
100,Ivar-Vahur Fuksile,LOC,ORG,sündinud,3
101,Kaarepere,PER,LOC,rääkis,2
102,New Yorgis,LOC,ORG,elav,1
103,Paevooteri,ORG,PER,juhatuse,1
104,Nõukogude Liit,LOC,ORG,suurima,3
105,Dalai Laama,PER,ORG,ema,2
106,Pr Jalviste,PER,ORG,rääkis,1
107,Tallinna linnavolikogu,LOC,ORG,linnapea,2
108,E55,LOC,ORG,maantee,1
109,Scantransi,ORG,PER,juhatuse,1
110,Eesti Vabariik,ORG,LOC,juhatuse,2
111,Enebybergs,ORG,LOC,liige,1
112,Kristini,ORG,PER,juhatuse,2
113,Air France'i,ORG,PER,juhatuse,1
114,AL,PER,ORG,ütles,2
115,Anastasia,LOC,PER,suurima,2
116,New York Magazine'is,PER,ORG,ütleb,2
117,Dvigateli,ORG,PER,peadirektor,1
118,Järva Maakohtus,PER,ORG,ema,2
119,Heinar,LOC,PER,sündinud,2
120,Schlesswig-Holsteinis Taani,LOC,PER,piiri,1
121,Willis,PER,LOC,ise,1
122,Remedia Monopol Vodka,PER,ORG,ütleb,2
123,EV,LOC,ORG,kodanik,1
124,Hitleri,LOC,PER,armee,2
125,Pauli Lõuna-Eestist,LOC,PER,pärit,3
126,Ameerika-Ukraina,ORG,LOC,nõukogu,2
127,EMV,LOC,ORG,suurima,2
128,Lolita,PER,ORG,ema,1
129,Iisrael,PER,LOC,ise,2
130,Kaubandus-Tööstuskoja,ORG,LOC,juhatuse,1
131,Tallinnas,PER,LOC,ütleb,2
132,Iidlas,LOC,PER,elav,1
133,Kasahstan,PER,LOC,ise,2
134,Maarja-Liis,PER,LOC,ise,1
135,SS,LOC,ORG,armee,2
136,Kirovi,ORG,LOC,liige,3
137,Põltsamaal,PER,LOC,ema,2
138,Kert Kaitseväe,ORG,PER,juhataja,3
139,Eesti Pank,PER,ORG,ise,2
140,Äripäevas,PER,ORG,ütleb,2
141,Vilja Palm,PER,ORG,ütles,1
142,R,PER,ORG,ütleb,3
143,R,PER,ORG,sõnul,3
144,L,PER,ORG,ütleb,3
145,Q-GSMi,LOC,ORG,kesklinnas,2
146,New Yorgis,LOC,ORG,elav,1
147,Estonia,PER,ORG,ütleb,2
148,ITC Computers,PER,ORG,ütleb,2
149,RR,PER,ORG,tunnistab,2
150,Saksamaa,PER,LOC,ise,2
151,Eesti Energia,PER,ORG,tunnistab
152,Saar Tulikast,PER,ORG,ütleb
153,Ridala,PER,LOC,ise
154,Walesi,LOC,ORG,päritolu
155,Nordika,ORG,PER,juhatuse
156,Leksi,ORG,PER,juhataja
157,Venemaa,PER,LOC,ise
158,Eesti Pank,LOC,ORG,krooni
159,M. V. Wool,ORG,LOC,juhatuse
160,EPAst,LOC,ORG,pärit
161,Mesmerin,LOC,PER,piiri
162,Hansapank,PER,ORG,ise
163,piirivalveameti,LOC,ORG,piiri
164,Rääskil,LOC,PER,kesklinna
165,Jr,PER,ORG,kinnitab
166,Zypora,PER,ORG,abikaasa
167,Karismaatiline Loitme,PER,ORG,räägib
168,ERA Pank Bergmanni,PER,ORG,sõnul
169,Eesti Tarbijakaitseametist,PER,ORG,ütleb
