,pred,hypothesis,i-5,i-4,i-3,i-2,i-1,i,i+1,i+2,i+3,i+4,i+5
0,,ORG,Joala,mõni,aeg,tagasi,“,Päevalehes,”,Aga,mis,sunnib,teda
1,,ORG,",",nagu,kirjutas,12.,juuli,EE,",",vaid,sai,1994.,aasta
2,,LOC,saavad,pärast,eestlastele,medaliteta,lõppenud,Atlanta,olümpiamänge,öelda,:,hea,","
3,,LOC,rohkem,on,sportlaste,esinemises,pettunud,Atlanta,klubi,34,kuldsponsorit,.,Igaüks
4,PER,LOC,Samamoodi,ei,nurisenud,ka,Nissan,Balti,",",Saku,Õlletehas,",",IBM
5,PER,LOC,Õlletehas,",",IBM,",",Philips,Eesti,",",Tööstuspank,...,Eesti,Mobiiltelefoni
6,PER,LOC,Gazpromi,tütarettevõte,kavatseb,ehitada,Kohtla-Järvele,Eesti,kalleima,tööstusettevõtte,",",ligi,kaks
7,ORG,LOC,valimised,.,Oktoobris,valitakse,uus,Tallinna,volikogu,.,Linnaplaneerijad,on,lühikest
8,PER,LOC,Tahtmise,korral,oleks,võidud,Meri,Vene,sõjaväe,väljaviimise,eest,vangi,panna
9,,PER,naftabojaar,Lennart,Meri,Rain,Rosimannus,Jaanus,Pikani,Kaja,Tael,Piret,Saluri
10,,ORG,selliseid,skandaale,",",nagu,Miss,Estonia,iludusvõistlusel,teinimissiks,pärjatud,Kati,Pobuli
11,,ORG,kandidaadina,läbi,),jt.,Pärast,Estonia,hukku,ilmunud,erileht,oli,suur
12,,ORG,ma,olen,(,P,.,K,.,oli,1960,-,1983
13,,ORG,1983,Kirjanike,Liidu,juhtfiguure,--,K,.,K,),olnud,üks
14,,ORG,Liidu,juhtfiguure,--,K,.,K,),olnud,üks,kirjanike,ja
15,,PER,.,Nüüd,liigub,Veenus,aga,Vähi,märki,",",andes,Sinu,ja
16,,PER,augusti,ja,7.,septembri,vahel,Vähi,tähemärgis,",",muutes,Su,suulise
17,,PER,NEITSI,Veenus,liigub,perioodi,algul,Vähi,märki,ning,jääb,sinna,kuni
18,,PER,Veenus,liigub,kuni,7.,septembrini,Vähi,märgis,",",mistõttu,raha,tuleb
