,pred,hypothesis,i-5,i-4,i-3,i-2,i-1,i,i+1,i+2,i+3,i+4,i+5
0,,LOC,vaid,kümnendik,ning,töökeel,on,vene,keel,.,Kuid,...,Kutašov
1,PER,LOC,Tahtmise,korral,oleks,võidud,Meri,Vene,sõjaväe,väljaviimise,eest,vangi,panna
2,,LOC,üks,väheseid,",",kes,viitsib,vene,lehti,lugeda,Ingvar,Bärenklau,-
3,,LOC,Engquist,?,a.,ta,armus,vene,tõkkejooksjatar,Ljudmilla,Narozhilenkosse,b,.
4,,LOC,Eesti,Merd,c,.,uuele,vene,ajalehele,Estonskii,Kolokol,d,.
5,,LOC,Bacon,ei,tuhni,laipades,nagu,prantsuse,noorukid,",",kes,hiljuti,Touloni
6,,LOC,hea,...,",",Laululava,",",Viljandi,kl,2100,2,Quick,Start
7,,LOC,näitlejana,.,1994,pälvis,ta,prantsuse,filmiauhinna,Cesar,kui,Kõige,Lootustandvam
8,,LOC,Viha,”,kleebitakse,Teile,külge,prantsuse,getonoorte,huvide,kaitsja,silt,?
9,,LOC,otsustasime,välja,anda,plaadi,mõnede,prantsuse,räpparitega,:,MC,Solaar,","
10,,LOC,.,“,Podstavnoe,litso,(,vene,keelest,vabas,tõlkes,variisik,)
11,,LOC,kirjust,seltskonnast,tasub,märkida,kuulsat,Londoni,väärtpaberivahendajat,Societe,Generale,Equities,ning
12,LOC,PER,Eestit,Idee,kaasata,presidendimängu,suursaadik,Ilves,küpses,õigusbüroo,omaniku,Illar,Hallaste
13,LOC,PER,.,Ent,siin,peitub,ka,Ilvese,nõrkus,-,väliseestlasena,on,ta
14,LOC,PER,eestlastele,vastuvõetamatu,.,Erakonnajuhtidel,on,Ilvese,riigi,etteotsa,valimise,puhul,üsna
15,LOC,PER,aasta,pärast,",",kui,ainult,Ilvese,ameeriklannast,abikaasa,senikaua,riigi,esimeseks
16,,PER,kannatada,jõuab,.,Siiski,on,Ilves,oma,kandidatuurile,välja,meelitanud,vekslid
17,,LOC,vähesed,teavad,",",et,Rüütel,vene,keelt,eriti,ei,oska,.
18,,LOC,",",et,on,saavutanud,kokkuleppe,vene,sõjaväepensionäride,kodumaale,saatmiseks,.,Suur
19,,LOC,Rüütli,aega,nagu,vana,head,Rootsi,aega,.,Aga,see,kõik
20,,LOC,raske,rääkida,.,Saadaval,on,vene,okupatsiooni,aegsed,poolmagusad,menuveinid,","
21,,LOC,see,pisike,reklaamitrikk,olla,-,vene,külapoisi,anekdoodi,moodi,lugu,lk
22,,LOC,kujutas,endast,Sinuhe,jutustuse,tõlget,vene,keelde,ning,sellele,lisatud,kommentaare
23,ORG,LOC,Soome,/,",",Kiki,/,Berliin,/,",",Aivar,Tõnso,","
24,,LOC,festivalil,",",Prantsuse,Naistefestivalil,ja,Londoni,Lesbi-,ja,Gayfestivalil,.,Ilusates
25,,LOC,kõik,kolm,omal,tahtel,sõidu,vene,karussellil,ja,pöördusid,Eestisse,tagasi
26,,LOC,Pärast,“,Kasiino,”,esilinastust,Londoni,festivali,lõpuõhtul,mullu,novembris,andis
27,,LOC,3500,krooni,.,Hispaania,ja,prantsuse,keele,paketid,aga,155,-
28,,LOC,dollarit,.,Veider,",",et,vene,keele,paketi,hinda,ei,olnud
29,,LOC,olnud,kirjas,.,Kas,siis,vene,keelel,polegi,hinda,?,See
30,,LOC,vähemalt,kaubanduses,",",rääkima,ka,vene,keelt,.,See,muidugi,ei
31,,LOC,paistab,silma,Atlantas,hõbeda,võitnud,prantsuse,jalgrattur,Jeannie,Longo,?,a.
32,,LOC,Lennarti-lood,on,aga,nagu,pikantne,prantsuse,film,.,Arnold,teeb,õhtul
33,,ORG,ämbrisse,.,Ainsana,on,rahulolev,keskerakonna,esimees,Edgar,Savisaar,",",kes
